/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_499.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_499.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_499.jpg,0,0,0,5.420658
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_566.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_566.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_566.jpg,0,0,0,5.387951
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_634.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_634.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_634.jpg,0,0,0,5.344649
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_701.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_701.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_701.jpg,0,0,0,5.312402
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_768.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_768.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_768.jpg,0,0,0,5.280349
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_837.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_837.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_837.jpg,0,0,0,5.237912
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_906.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_906.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_906.jpg,0,0,0,5.206308
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_21_974.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_21_974.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_21_974.jpg,0,0,0,5.164467
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_22_042.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_22_042.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_22_042.jpg,0,0,0,5.133307
/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/center_2021_11_26_23_58_22_109.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/left_2021_11_26_23_58_22_109.jpg,/home/mohamed-morsy/PersonalData/Technical/Self-driven car ND/CarND-Behavioral-Cloning-P3/collected_training_data/forward_direction/IMG/right_2021_11_26_23_58_22_109.jpg,0,0,0,5.102334
